Name,Score,Total Blocks,Just in Time,Normal,Too Early,Up,Down,Left,Right,Start Time,End Time,Duration,Music,Average Reaction Time
driss,587,43,5,30,8,10,13,12,8,2024-11-15 16:48:41,2024-11-15 16:49:11,29.249938,unchained.mp3,818.3120567375887
driss,911,79,6,52,21,26,18,25,10,2024-11-15 16:49:21,2024-11-15 16:50:07,45.85987,unchained.mp3,816.3772727272727
driss,662,58,1,44,13,14,16,14,14,2024-11-15 16:50:24,2024-11-15 16:51:00,36.220086,unchained.mp3,822.0611510791367
driss,0,0,0,0,0,0,0,0,0,2024-11-15 16:51:14,2024-11-15 16:51:17,3.477364,levels_avicii.mp3,822.0611510791367
driss,216,19,1,17,1,4,2,8,5,2024-11-15 16:51:30,2024-11-15 16:51:43,12.617164,levels_avicii.mp3,828.2525252525253
driss,1300,122,2,101,19,25,31,37,29,2024-11-15 16:51:56,2024-11-15 16:52:58,61.512906,levels_avicii.mp3,833.1360381861575
driss,260,27,0,21,6,2,8,10,7,2024-11-15 16:53:12,2024-11-15 16:53:29,17.59688,funkygroove.mp3,834.4058295964126
driss,848,80,0,66,14,17,18,27,18,2024-11-15 16:53:42,2024-11-15 16:54:27,44.624697,funkygroove.mp3,837.4543726235742
driss,1053,113,2,74,37,19,27,25,42,2024-11-15 16:54:36,2024-11-15 16:55:37,61.323771,funkygroove.mp3,834.5446009389672
driss,346,35,2,15,18,8,12,9,6,2024-11-15 16:55:46,2024-11-15 16:56:05,18.767356,audio (3).mp3,829.8560830860534
driss,1453,161,0,95,66,41,38,46,36,2024-11-15 16:56:21,2024-11-15 16:57:33,72.045397,audio (3).mp3,818.5233532934132
driss,1132,95,5,58,32,28,21,23,23,2024-11-15 16:57:45,2024-11-15 16:58:29,43.953417,audio (3).mp3,817.5376344086021
